epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,201.155,2.20409,2.24039,2.23197,0.43454,0.41211,0.39967,0.15284,2.00678,1.93583,2.12743,0.008581,0.008581,0.008581
45,205.686,2.18074,2.17626,2.21134,0.36951,0.38672,0.33782,0.12756,2.01262,1.98693,2.17139,0.008548,0.008548,0.008548
46,210.259,2.17602,2.1765,2.24712,0.3731,0.41797,0.36887,0.13402,2.05418,2.01643,2.17439,0.008515,0.008515,0.008515
47,214.808,2.15469,2.1647,2.20679,0.37721,0.4043,0.34042,0.12228,2.13185,2.06039,2.23374,0.008482,0.008482,0.008482
48,219.323,2.15658,2.17432,2.1956,0.38258,0.40059,0.32299,0.12432,2.07955,2.16755,2.229,0.008449,0.008449,0.008449
49,223.85,2.1566,2.14831,2.22198,0.45816,0.45312,0.40663,0.15466,2.01986,1.87959,2.17209,0.008416,0.008416,0.008416
50,228.392,2.16003,2.15781,2.21358,0.43301,0.42188,0.37318,0.1377,2.09089,1.94075,2.20899,0.008383,0.008383,0.008383
51,232.926,2.17079,2.16292,2.22425,0.37219,0.4481,0.35485,0.13159,2.00497,1.92737,2.15799,0.00835,0.00835,0.00835
52,237.514,2.14954,2.13849,2.21385,0.44675,0.42773,0.38685,0.15387,2.05077,2.02339,2.23568,0.008317,0.008317,0.008317
53,242.052,2.1636,2.11865,2.20416,0.45772,0.48828,0.43602,0.16907,1.99761,1.81188,2.1734,0.008284,0.008284,0.008284
54,246.581,2.13173,2.12959,2.1969,0.45985,0.4375,0.41235,0.16178,2.01418,1.88379,2.15532,0.008251,0.008251,0.008251
55,251.09,2.14751,2.1278,2.19375,0.41045,0.34674,0.34157,0.12637,2.16091,2.36964,2.2598,0.008218,0.008218,0.008218
56,255.614,2.13641,2.10109,2.18235,0.43239,0.41406,0.39614,0.14517,2.05388,1.96931,2.12125,0.008185,0.008185,0.008185
57,260.148,2.1341,2.1259,2.19622,0.44346,0.44042,0.41301,0.15883,2.0252,1.89042,2.14934,0.008152,0.008152,0.008152
58,264.654,2.14467,2.08578,2.21618,0.47306,0.44727,0.44429,0.17861,1.99797,1.85218,2.18867,0.008119,0.008119,0.008119
59,269.186,2.10371,2.10694,2.21339,0.40808,0.41406,0.36528,0.13578,2.02644,1.85871,2.18529,0.008086,0.008086,0.008086
60,273.72,2.16458,2.08165,2.19535,0.47056,0.52148,0.47142,0.18347,2.01222,1.83469,2.09663,0.008053,0.008053,0.008053
61,278.266,2.12066,2.07277,2.18784,0.46231,0.43555,0.42346,0.14814,2.08168,1.94807,2.16984,0.00802,0.00802,0.00802
62,282.787,2.11249,2.10635,2.1878,0.44043,0.42578,0.38116,0.15751,2.00412,1.86416,2.18458,0.007987,0.007987,0.007987
63,287.313,2.14323,2.08479,2.23247,0.399,0.4375,0.38132,0.14446,1.96635,1.83557,2.17998,0.007954,0.007954,0.007954
64,291.838,2.12746,2.08223,2.16803,0.46304,0.49181,0.45851,0.18703,1.98151,1.84779,2.13184,0.007921,0.007921,0.007921
65,296.386,2.10233,2.06513,2.18003,0.47894,0.46875,0.47237,0.19712,1.96352,1.76332,2.08881,0.007888,0.007888,0.007888
66,300.926,2.11259,2.06296,2.17798,0.50571,0.49609,0.49726,0.2093,1.94536,1.71602,2.11464,0.007855,0.007855,0.007855
67,305.457,2.0953,2.05726,2.16074,0.52729,0.48438,0.48761,0.19815,1.92105,1.74063,2.07602,0.007822,0.007822,0.007822
68,309.987,2.11398,2.05155,2.16034,0.48027,0.46094,0.45859,0.17206,1.97378,1.85124,2.06475,0.007789,0.007789,0.007789
69,314.518,2.12867,2.07004,2.16834,0.52205,0.44141,0.47305,0.18932,1.99254,1.73246,2.1122,0.007756,0.007756,0.007756
70,319.029,2.11405,2.0405,2.17491,0.53417,0.46094,0.49316,0.20228,1.97352,1.73217,2.11166,0.007723,0.007723,0.007723
71,323.557,2.10494,2.04748,2.12665,0.47393,0.48563,0.44336,0.18397,1.95249,1.74714,2.06853,0.00769,0.00769,0.00769
72,328.084,2.09344,2.05911,2.15598,0.48001,0.494,0.47644,0.19084,1.9459,1.80171,2.05645,0.007657,0.007657,0.007657
73,332.61,2.1048,2.04485,2.17737,0.51923,0.50586,0.50782,0.21444,1.92083,1.66806,2.06964,0.007624,0.007624,0.007624
74,337.149,2.08809,2.03542,2.12832,0.50569,0.50391,0.46452,0.18535,1.99775,1.71698,2.11027,0.007591,0.007591,0.007591
75,341.68,2.06541,2.01289,2.15074,0.53503,0.50586,0.51017,0.21244,1.95266,1.73104,2.0909,0.007558,0.007558,0.007558
76,346.255,2.05627,2.02111,2.12341,0.48105,0.53409,0.4971,0.20007,1.93889,1.72351,2.06287,0.007525,0.007525,0.007525
77,350.844,2.08197,1.98307,2.1082,0.51665,0.51562,0.51528,0.20847,1.93859,1.66118,2.04589,0.007492,0.007492,0.007492
78,355.367,2.11027,2.01364,2.13705,0.43955,0.50391,0.44442,0.17464,1.95138,1.72919,2.08215,0.007459,0.007459,0.007459
79,359.89,2.07777,1.9929,2.13315,0.56255,0.49023,0.53335,0.22979,1.93082,1.64219,2.05724,0.007426,0.007426,0.007426
80,364.427,2.07979,2.00107,2.10468,0.51983,0.50977,0.50755,0.21286,1.93629,1.69255,2.0696,0.007393,0.007393,0.007393
81,368.946,2.06654,1.98345,2.10452,0.49769,0.53711,0.5064,0.21071,1.91209,1.65674,2.0458,0.00736,0.00736,0.00736
82,373.476,2.04357,1.96997,2.10803,0.49939,0.52802,0.52161,0.20336,1.95629,1.69049,2.08345,0.007327,0.007327,0.007327
83,377.999,2.05556,1.98128,2.10816,0.51405,0.49219,0.49998,0.215,1.94408,1.73347,2.05133,0.007294,0.007294,0.007294
84,382.514,2.0545,2.00264,2.11777,0.52101,0.495,0.51733,0.21016,1.96576,1.66288,2.06049,0.007261,0.007261,0.007261
85,387.042,2.04887,1.94806,2.11163,0.50111,0.48242,0.50603,0.21888,1.91969,1.65152,2.06038,0.007228,0.007228,0.007228
86,391.579,2.07076,1.94794,2.13451,0.52934,0.48633,0.53301,0.22971,1.87962,1.63717,2.06968,0.007195,0.007195,0.007195
87,396.108,2.04838,1.96381,2.11092,0.55981,0.53516,0.55368,0.23016,1.89784,1.64878,2.00401,0.007162,0.007162,0.007162
88,400.65,2.05208,1.9246,2.09162,0.48113,0.45508,0.4484,0.19356,1.94654,1.68922,2.07646,0.007129,0.007129,0.007129
89,405.174,2.07362,1.95593,2.1133,0.53598,0.51172,0.5403,0.23051,1.90247,1.68088,1.99224,0.007096,0.007096,0.007096
90,409.705,2.06007,1.9796,2.07773,0.51563,0.50781,0.52838,0.22588,1.89718,1.69484,2.02376,0.007063,0.007063,0.007063
91,414.24,2.01537,1.96932,2.10119,0.54469,0.49219,0.51743,0.22132,1.91668,1.65466,2.06356,0.00703,0.00703,0.00703
92,418.77,2.05715,1.95846,2.12982,0.50281,0.50586,0.50897,0.21604,1.89007,1.62063,2.04674,0.006997,0.006997,0.006997
