epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11036,3.88268,4.79939,4.31207,0.00054,0.05078,0.00029,6e-05,3.50182,4.02856,4.08935,0.0784,0.0024,0.0024
2,9.69628,3.7077,4.2668,4.12557,0.0001,0.00195,5e-05,0,3.40479,3.95523,4.01274,0.0558903,0.0048903,0.0048903
3,14.2874,3.35615,3.75049,3.75971,0.0001,0.00195,6e-05,1e-05,3.3145,4.21418,3.93183,0.0333707,0.0073707,0.0073707
4,18.9165,3.05862,3.23669,3.28537,0.09385,0.13281,0.04532,0.01117,2.99158,3.4018,3.69841,0.0108412,0.00984119,0.00984119
5,23.537,2.88663,3.11314,3.02035,0.05986,0.0957,0.02835,0.00779,2.91679,6.491,4.8544,0.0099208,0.0099208,0.0099208
6,28.1689,2.7216,2.8977,2.8188,0.08125,0.17188,0.04245,0.01154,2.77256,9.402,3.58749,0.009901,0.009901,0.009901
7,32.8171,2.59619,2.8278,2.74626,0.01928,0.21484,0.0126,0.00403,2.51441,374.568,4.12726,0.0098812,0.0098812,0.0098812
8,37.4279,2.5954,2.84688,2.68965,0.00604,0.1875,0.00361,0.00121,3.44321,86.9544,6.29022,0.0098614,0.0098614,0.0098614
9,42.0623,2.54317,2.73458,2.63543,0.09746,0.3125,0.08951,0.02805,2.28175,25.4668,2.74974,0.0098416,0.0098416,0.0098416
10,46.6965,2.48371,2.67782,2.57108,0.00412,0.11328,0.00247,0.00063,4.66145,147.764,5.27317,0.0098218,0.0098218,0.0098218
11,51.339,2.48643,2.65287,2.55978,0.05673,0.23828,0.0533,0.01467,2.47481,19.3763,2.86943,0.009802,0.009802,0.009802
12,55.9555,2.44516,2.63026,2.52313,0.17466,0.16368,0.08629,0.02782,2.33422,2.60498,2.55298,0.0097822,0.0097822,0.0097822
13,60.621,2.38443,2.58374,2.45802,0.03825,0.23828,0.0295,0.00832,2.71908,35.2553,3.42864,0.0097624,0.0097624,0.0097624
14,65.2546,2.38088,2.5233,2.42469,0.18122,0.29492,0.14473,0.04499,2.17742,5.56291,2.49701,0.0097426,0.0097426,0.0097426
15,69.8788,2.37568,2.49348,2.41304,0.31278,0.2832,0.2334,0.0737,2.14265,3.65564,2.36445,0.0097228,0.0097228,0.0097228
16,74.5383,2.35763,2.45085,2.39358,0.01444,0.04492,0.00284,0.00059,3.96133,16.8592,4.6226,0.009703,0.009703,0.009703
17,79.1761,2.34759,2.44829,2.40821,0.28633,0.32285,0.20539,0.06477,2.28986,4.52955,2.62515,0.0096832,0.0096832,0.0096832
18,83.7803,2.30244,2.4272,2.36439,0.21834,0.17578,0.13187,0.03968,2.07136,4.38782,2.31326,0.0096634,0.0096634,0.0096634
19,88.3702,2.29311,2.38276,2.31586,0.32598,0.19922,0.20392,0.06914,2.20261,2.64158,2.40666,0.0096436,0.0096436,0.0096436
20,92.9957,2.29195,2.36363,2.33857,0.14494,0.30664,0.14705,0.04079,2.29047,2.96718,2.52642,0.0096238,0.0096238,0.0096238
21,97.5835,2.3229,2.32958,2.34246,0.20651,0.20117,0.1347,0.04632,2.33065,2.75226,2.50354,0.009604,0.009604,0.009604
22,102.21,2.30127,2.35493,2.29816,0.22037,0.1582,0.1014,0.03356,2.36912,3.18817,2.5203,0.0095842,0.0095842,0.0095842
23,106.859,2.26062,2.34477,2.28737,0.10765,0.12891,0.05555,0.01413,2.51668,7.04561,2.87349,0.0095644,0.0095644,0.0095644
24,111.501,2.26168,2.32739,2.31065,0.30763,0.27857,0.23607,0.07613,2.15032,2.36236,2.27794,0.0095446,0.0095446,0.0095446
25,116.174,2.27424,2.27747,2.30087,0.31747,0.25391,0.20702,0.06076,2.39468,2.96664,2.55454,0.0095248,0.0095248,0.0095248
26,120.823,2.21054,2.24502,2.22147,0.38002,0.44336,0.36415,0.11536,2.17852,2.66339,2.29123,0.009505,0.009505,0.009505
27,125.509,2.23056,2.24656,2.23158,0.24371,0.17578,0.13823,0.04413,2.36744,2.6455,2.4374,0.0094852,0.0094852,0.0094852
28,130.11,2.23383,2.2273,2.21943,0.37648,0.36328,0.30187,0.09905,2.14393,2.01946,2.16323,0.0094654,0.0094654,0.0094654
29,134.716,2.2418,2.28625,2.23498,0.30791,0.35156,0.25953,0.08537,2.17131,2.168,2.21719,0.0094456,0.0094456,0.0094456
30,139.33,2.21389,2.2408,2.21851,0.3149,0.30078,0.24937,0.07641,2.12241,2.35077,2.21894,0.0094258,0.0094258,0.0094258
31,143.915,2.20057,2.27791,2.26175,0.38914,0.37695,0.34111,0.12369,2.06937,2.03499,2.2082,0.009406,0.009406,0.009406
32,148.519,2.18905,2.20973,2.21135,0.33458,0.36719,0.26655,0.07702,2.2278,2.37548,2.19619,0.0093862,0.0093862,0.0093862
33,153.13,2.22835,2.26699,2.2582,0.35225,0.35156,0.29752,0.09433,2.32275,2.04558,2.40986,0.0093664,0.0093664,0.0093664
34,157.76,2.18314,2.24731,2.2249,0.21094,0.24805,0.16452,0.04836,2.21414,2.6492,2.32654,0.0093466,0.0093466,0.0093466
35,162.379,2.2429,2.22434,2.21435,0.36833,0.31055,0.2804,0.09169,2.19788,2.26027,2.29121,0.0093268,0.0093268,0.0093268
36,167.034,2.19779,2.21572,2.19926,0.37629,0.30078,0.28484,0.09982,2.00629,2.4618,2.13134,0.009307,0.009307,0.009307
